myo,action
10,Not
11,Not
11,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
11,Not
10,Not
10,Not
11,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
11,Not
10,Not
10,Not
10,Not
10,Not
10,Not
11,Not
11,Not
10,Not
10,Not
10,Not
10,Not
11,Not
11,Not
10,Not
11,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
11,Not
11,Not
10,Not
10,Not
10,Not
11,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
11,Not
15,Not
17,Not
17,Not
17,Not
19,Not
25,Not
26,Not
26,Not
30,Not
31,Not
32,Not
31,Not
35,Not
39,Not
43,Not
43,Not
41,Not
43,Not
42,Not
44,Not
42,Not
42,Not
51,Not
51,Not
49,Not
47,Not
45,Not
47,Not
49,Not
48,Not
49,Not
49,Not
50,Not
52,Not
51,Not
49,Not
47,Not
46,Not
47,Not
45,Not
44,Not
42,Not
44,Not
43,Not
41,Not
43,Not
52,Not
51,Not
50,Not
49,Not
48,Not
49,Not
48,Not
47,Not
46,Not
45,Not
44,Not
45,Not
45,Not
54,Not
53,Not
52,Not
51,Not
50,Not
49,Not
49,Not
49,Not
47,Not
46,Not
45,Not
44,Not
43,Not
45,Not
44,Not
43,Not
43,Not
42,Not
42,Not
41,Not
41,Not
40,Not
39,Not
38,Not
36,Not
35,Not
34,Not
32,Not
32,Not
31,Not
31,Not
31,Not
30,Not
29,Not
30,Not
30,Not
30,Not
30,Not
30,Not
29,Not
28,Not
28,Not
28,Not
29,Not
28,Not
28,Not
27,Not
27,Not
27,Not
28,Not
28,Not
28,Not
27,Not
27,Not
27,Not
27,Not
28,Not
27,Not
28,Not
27,Not
27,Not

