myo,action
24,Flex
24,Flex
24,Flex
23,Flex
23,Flex
23,Flex
24,Flex
24,Flex
24,Flex
22,Flex
22,Flex
22,Flex
23,Flex
23,Flex
23,Flex
24,Flex
25,Flex
26,Flex
26,Flex
27,Flex
27,Flex
27,Flex
26,Flex
26,Flex
25,Flex
25,Flex
25,Flex
25,Flex
25,Flex
27,Flex
28,Flex
28,Flex
27,Flex
27,Flex
26,Flex
26,Flex
25,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
25,Flex
25,Flex
25,Flex
25,Flex
24,Flex
24,Flex
24,Flex
25,Flex
26,Flex
25,Flex
25,Flex
25,Flex
24,Flex
24,Flex
26,Flex
26,Flex
25,Flex
26,Flex
26,Flex
25,Flex
24,Flex
25,Flex
25,Flex
26,Flex
25,Flex
25,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
25,Flex
23,Flex
23,Flex
24,Flex
24,Flex
23,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
22,Flex
22,Flex
22,Flex
22,Flex
21,Flex
21,Flex
22,Flex
23,Flex
22,Flex
22,Flex
23,Flex
22,Flex
23,Flex
21,Flex
21,Flex
21,Flex
22,Flex
22,Flex
22,Flex
23,Flex
22,Flex
21,Flex
22,Flex
22,Flex
21,Flex
21,Flex
22,Flex
22,Flex
22,Flex
22,Flex
22,Flex
22,Flex
22,Flex
21,Flex
23,Flex
23,Flex
23,Flex
22,Flex
21,Flex
21,Flex
21,Flex
20,Flex
21,Flex
23,Flex
24,Flex
24,Flex
24,Flex
23,Flex
23,Flex
23,Flex
22,Flex
23,Flex
22,Flex
21,Flex
21,Flex
22,Flex
23,Flex
23,Flex
24,Flex
24,Flex
24,Flex
24,Flex
23,Flex
23,Flex
23,Flex
23,Flex
22,Flex
24,Flex
25,Flex
26,Flex
26,Flex
26,Flex
25,Flex
25,Flex
25,Flex
26,Flex
25,Flex
24,Flex
24,Flex
25,Flex
26,Flex
25,Flex
25,Flex
24,Flex
23,Flex
23,Flex
22,Flex
22,Flex
23,Flex
22,Flex
21,Flex
22,Flex
22,Flex
21,Flex
21,Flex
21,Flex
20,Flex
21,Flex
22,Flex
22,Flex
22,Flex
22,Flex
22,Not
22,Not
21,Not
22,Not
23,Not
24,Not
24,Not
24,Not
24,Not
24,Not
23,Not
25,Not
25,Not
